"Name","Live Bytes","Live Objects"
"char[][]","25,288 B (0.1%)","436 (0.1%)"
"sun.util.locale.BaseLocale$Key","24,960 B (0.1%)","780 (0.1%)"
"java.lang.ref.SoftReference[]","24,752 B (0.1%)","364 (0.1%)"
"java.util.concurrent.atomic.AtomicInteger","24,368 B (0.1%)","1,523 (0.3%)"
"java.lang.invoke.DirectMethodHandle","24,096 B (0.1%)","753 (0.1%)"
"java.util.TreeMap$EntrySet","24,064 B (0.1%)","1,504 (0.2%)"
"java.lang.Class$AnnotationData","23,928 B (0.1%)","997 (0.2%)"
"java.lang.StackTraceElement","23,808 B (0.1%)","496 (0.1%)"
"java.util.TreeMap$KeySet","23,504 B (0.1%)","1,469 (0.2%)"
"java.lang.reflect.Type[]","23,240 B (0.1%)","994 (0.2%)"
"jdk.internal.reflect.NativeConstructorAccessorImpl","22,560 B (0.1%)","940 (0.2%)"
"java.util.LinkedList","22,528 B (0.1%)","704 (0.1%)"
"java.lang.Integer","21,024 B (0.1%)","1,314 (0.2%)"
"java.net.URL","18,816 B (0.1%)","294 (0%)"
"java.lang.reflect.Field[]","18,168 B (0.1%)","477 (0.1%)"
"java.lang.module.ModuleDescriptor$Exports","18,048 B (0.1%)","752 (0.1%)"
"java.util.LinkedHashMap$LinkedKeySet","17,824 B (0.1%)","1,114 (0.2%)"
"org.thymeleaf.engine.HTMLAttributeName","17,800 B (0.1%)","445 (0.1%)"
"java.util.LinkedHashSet","17,568 B (0.1%)","1,098 (0.2%)"
"java.lang.Module","17,024 B (0%)","304 (0.1%)"
"java.util.LinkedHashMap$LinkedValues","16,928 B (0%)","1,058 (0.2%)"
"java.util.WeakHashMap$Entry[]","16,672 B (0%)","180 (0%)"
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef","16,080 B (0%)","335 (0.1%)"
"java.util.jar.Attributes$Name","15,888 B (0%)","662 (0.1%)"
"org.springframework.util.ConcurrentReferenceHashMap$Entry","15,768 B (0%)","657 (0.1%)"
"jdk.internal.reflect.DelegatingConstructorAccessorImpl","15,680 B (0%)","980 (0.2%)"
"java.util.WeakHashMap$Entry","15,200 B (0%)","380 (0.1%)"
"sun.nio.fs.UnixFileAttributes","14,464 B (0%)","113 (0%)"
"jdk.internal.reflect.DelegatingClassLoader","14,160 B (0%)","177 (0%)"
"java.lang.StringBuilder","14,136 B (0%)","589 (0.1%)"
"java.lang.invoke.BoundMethodHandle$Species_L","13,568 B (0%)","424 (0.1%)"
"java.security.CodeSource","13,200 B (0%)","330 (0.1%)"
"java.security.ProtectionDomain","13,080 B (0%)","327 (0.1%)"
"java.util.HashSet","12,976 B (0%)","811 (0.1%)"
"sun.reflect.generics.repository.ClassRepository","12,896 B (0%)","403 (0.1%)"
"org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog","12,504 B (0%)","521 (0.1%)"
"java.lang.invoke.LambdaForm$Name[]","12,496 B (0%)","255 (0%)"
"java.util.jar.JarFile$JarFileEntry","12,480 B (0%)","130 (0%)"
"org.thymeleaf.util.ProcessorConfigurationUtils$ElementTagProcessorWrapper","12,440 B (0%)","311 (0.1%)"
"java.util.RegularEnumSet","12,352 B (0%)","386 (0.1%)"
"org.apache.tomcat.util.buf.ByteChunk","12,288 B (0%)","256 (0%)"
"javax.management.ObjectName$Property[]","12,256 B (0%)","383 (0.1%)"
"org.springframework.core.MethodParameter","12,224 B (0%)","191 (0%)"
"sun.reflect.generics.factory.CoreReflectionFactory","12,216 B (0%)","509 (0.1%)"
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl","12,216 B (0%)","509 (0.1%)"
"java.lang.invoke.LambdaForm","12,000 B (0%)","250 (0%)"
"java.util.zip.Inflater","11,968 B (0%)","187 (0%)"
"java.util.ImmutableCollections$Set12","11,808 B (0%)","492 (0.1%)"
"org.apache.tomcat.util.buf.CharChunk","11,520 B (0%)","240 (0%)"
"org.apache.tomcat.util.buf.MessageBytes","11,376 B (0%)","237 (0%)"
"java.io.ObjectStreamField","11,000 B (0%)","275 (0%)"
"jdk.internal.math.FDBigInteger","10,912 B (0%)","341 (0.1%)"
"org.springframework.core.ResolvableType[]","10,864 B (0%)","481 (0.1%)"
"java.io.DataOutputStream","10,480 B (0%)","262 (0%)"
"java.lang.String[][]","10,432 B (0%)","46 (0%)"
"java.net.URI","10,400 B (0%)","130 (0%)"
"java.lang.invoke.LambdaForm$NamedFunction","10,144 B (0%)","317 (0.1%)"
"sun.reflect.generics.scope.ClassScope","9,984 B (0%)","416 (0.1%)"
"org.springframework.core.convert.converter.GenericConverter$ConvertiblePair","9,816 B (0%)","409 (0.1%)"
"java.lang.module.ModuleDescriptor$Requires","9,760 B (0%)","305 (0.1%)"
"sun.reflect.generics.tree.ClassSignature","9,672 B (0%)","403 (0.1%)"
"org.thymeleaf.processor.element.MatchingAttributeName","9,664 B (0%)","302 (0.1%)"
"org.springframework.beans.BeanMetadataAttribute","9,624 B (0%)","401 (0.1%)"
"java.io.ObjectStreamClass$FieldReflectorKey","9,480 B (0%)","237 (0%)"
"jdk.internal.reflect.NativeMethodAccessorImpl","9,336 B (0%)","389 (0.1%)"
"java.util.Collections$UnmodifiableSet","9,120 B (0%)","570 (0.1%)"
"org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition","9,072 B (0%)","81 (0%)"
"java.util.zip.ZipFile$Source","9,040 B (0%)","113 (0%)"
"java.lang.management.MonitorInfo[]","8,976 B (0%)","561 (0.1%)"
"java.util.logging.LogManager$LoggerWeakRef","8,976 B (0%)","187 (0%)"
"java.lang.management.LockInfo[]","8,976 B (0%)","561 (0.1%)"
"sun.reflect.generics.tree.FormalTypeParameter[]","8,864 B (0%)","506 (0.1%)"
"org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor","8,784 B (0%)","366 (0.1%)"
"java.lang.invoke.DirectMethodHandle$Special","8,760 B (0%)","219 (0%)"
"sun.reflect.generics.tree.ClassTypeSignature[]","8,664 B (0%)","403 (0.1%)"
"org.springframework.data.util.Lazy","8,592 B (0%)","358 (0.1%)"
"java.lang.Thread","8,464 B (0%)","23 (0%)"
"java.util.WeakHashMap","8,400 B (0%)","175 (0%)"
"java.lang.module.ModuleDescriptor","8,320 B (0%)","130 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping","8,280 B (0%)","115 (0%)"
"org.h2.value.DataType","8,160 B (0%)","102 (0%)"
"org.h2.value.ValueString","8,136 B (0%)","339 (0.1%)"
"java.io.ObjectInputStream$HandleTable$HandleList[]","8,104 B (0%)","131 (0%)"
"java.io.ObjectOutputStream$HandleTable","8,000 B (0%)","200 (0%)"
"org.apache.logging.slf4j.SLF4JLogger","7,936 B (0%)","248 (0%)"
"sun.security.util.KnownOIDs","7,904 B (0%)","247 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType[]","7,856 B (0%)","197 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements","7,840 B (0%)","196 (0%)"
"jdk.internal.reflect.DelegatingMethodAccessorImpl","7,824 B (0%)","489 (0.1%)"
"java.util.concurrent.CopyOnWriteArraySet","7,776 B (0%)","486 (0.1%)"
"jdk.internal.loader.NativeLibraries","7,712 B (0%)","241 (0%)"
"org.springframework.beans.factory.support.MethodOverrides","7,712 B (0%)","482 (0.1%)"
"java.lang.management.LockInfo","7,680 B (0%)","320 (0.1%)"
"com.sun.proxy.$Proxy38","7,648 B (0%)","478 (0.1%)"
"sun.reflect.generics.tree.FieldTypeSignature[]","7,424 B (0%)","344 (0.1%)"
"org.springframework.boot.autoconfigure.condition.ConditionOutcome","7,296 B (0%)","304 (0.1%)"
"java.lang.invoke.MethodTypeForm","7,296 B (0%)","228 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome","7,296 B (0%)","304 (0.1%)"
"java.util.Collections$UnmodifiableMap","7,264 B (0%)","227 (0%)"
"jdk.internal.module.ModuleReferenceImpl","7,224 B (0%)","129 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment[]","7,200 B (0%)","90 (0%)"
"java.util.ImmutableCollections$SetN","7,200 B (0%)","300 (0%)"
